16	11	28	26	35	40	33
9	11	33	36	24	47	31
11	15	22	20	31	55	25
15	19	34	42	24	48	36
28	11	30	35	34	60	23
11	15	38	39	28	48	33
17	12	24	29	27	45	26
16	559	9360	10061	11481	46180	25259
12	473	50617	133286	136717	431311	196879
12	307	31954	74044	56244	138870	55008
12	271	23424	43817	26702	61320	23339
11	222	18448	27687	14216	30519	11422
14	187	14687	17381	7169	15088	5585
12	176	12047	11408	4142	7972	2906
10	149	10131	7869	2378	4517	1503
17	152	8588	5493	1441	2589	947
9	130	7363	4048	918	1611	565
10	107	6473	3099	612	1012	349
14	120	5735	2407	432	673	235
10	120	4981	1821	344	523	172
17	87	4501	1602	246	362	135
13	98	4166	1288	206	290	122
19	84	3769	1049	163	261	82
17	98	3404	996	128	188	93
7	82	3139	757	109	148	58
14	59	2920	681	110	156	72
16	93	2668	613	93	140	45
14	77	2394	527	98	118	51
12	63	2324	476	77	102	55
5	59	2201	575	199	504	252
17	68	2224	665	340	945	435
15	61	2044	657	363	1006	436
14	50	1931	707	370	960	401
9	56	1859	614	344	873	392
11	57	1762	618	288	793	338
9	55	1738	588	290	766	304
12	58	1592	585	270	730	362
13	54	1568	550	271	649	315
14	39	1509	511	272	594	269
13	39	1435	457	233	621	271
13	48	1438	410	228	532	269
12	60	1347	405	240	536	232
14	54	1253	398	172	440	174
16	38	1238	370	172	489	200
16	53	1153	372	180	464	198
8	40	1134	347	184	403	170
12	39	1083	305	155	397	177
12	32	1065	290	136	371	184
13	61	1053	290	151	390	167
11	40	961	280	147	385	176
11	42	944	266	152	390	157
17	31	927	260	146	393	149
13	33	898	259	142	325	165
12	44	924	231	113	309	146
11	38	824	236	106	307	148
13	38	800	240	123	292	153
10	44	766	207	114	308	129
14	38	764	191	129	282	135
18	38	748	193	119	279	135
8	40	747	193	108	280	133
12	32	752	204	128	242	114
20	45	741	184	112	244	114
12	45	730	188	107	256	112
11	37	652	164	98	249	118
16	31	619	181	104	230	111
16	36	629	132	110	218	102
17	26	639	144	91	225	107
17	32	632	178	114	212	101
9	33	596	141	103	223	100
18	38	589	152	120	261	120
12	39	558	168	93	334	134
12	31	550	172	128	322	159
11	29	536	183	127	271	145
6	28	543	154	121	286	152
10	35	545	219	99	295	134
13	37	542	179	117	249	137
17	28	547	175	88	286	110
16	27	508	158	94	272	116
12	31	497	159	112	218	123
14	25	446	156	95	265	112
14	24	500	139	108	240	110
15	36	478	145	105	258	82
10	34	415	164	80	220	97
19	31	478	136	94	212	100
16	31	452	143	99	206	107
12	20	454	120	85	215	114
8	30	390	138	95	195	99
13	30	453	116	80	223	110
19	32	407	125	73	188	108
17	26	395	127	77	197	86
6	25	365	148	98	200	79
10	22	401	123	77	170	99
6	22	386	133	87	215	83
16	32	327	113	86	183	89
16	34	346	143	71	196	106
10	22	350	108	76	190	85
8	23	362	132	94	147	81
16	30	356	95	76	162	89
14	18	343	109	73	182	86
12	29	350	102	75	174	67
19	17	352	106	70	174	109
12	29	325	109	54	148	89
19	44	335	99	69	155	72
15	19	339	89	65	162	84
9	28	322	103	64	158	73
10	31	299	107	78	145	75
19	29	333	110	58	143	74
11	26	274	97	65	144	72
12	26	299	101	85	160	69
12	26	326	91	55	162	69
19	17	304	86	60	155	63
14	22	262	88	60	166	75
17	34	266	103	60	138	86
9	27	296	86	56	157	86
12	27	252	93	49	133	79
9	22	280	81	69	149	70
6	29	243	87	70	142	63
6	13	237	98	62	149	70
11	23	256	89	69	156	88
13	28	260	96	65	142	73
15	14	254	100	57	145	60
14	18	288	93	71	149	71
20	22	234	69	75	145	62
15	25	278	67	52	138	65
7	27	236	77	49	137	66
9	21	237	82	62	145	68
14	23	245	92	57	118	68
12	24	244	84	57	127	56
12	22	234	55	65	132	61
8	21	225	75	64	136	52
16	19	242	64	58	108	59
15	23	229	74	57	128	65
15	20	208	60	65	113	79
12	16	213	69	57	134	54
11	28	207	77	58	105	63
11	27	245	70	52	115	64
11	25	196	79	54	113	71
11	18	203	83	51	107	57
6	22	192	64	60	135	43
12	18	197	80	52	107	70
18	17	208	85	51	94	60
13	19	232	70	46	120	57
10	18	182	73	55	113	53
10	18	189	62	60	106	68
10	27	180	70	42	95	46
9	19	207	71	41	98	62
20	12	204	57	45	101	72
13	25	189	79	75	114	61
12	17	192	66	41	127	51
9	29	217	70	39	105	58
14	20	195	49	39	93	47
14	27	180	77	42	113	46
6	15	166	70	61	94	41
14	23	183	68	47	82	54
12	21	192	65	41	94	61
10	15	177	61	52	91	61
10	22	169	58	50	89	55
13	22	172	43	49	94	54
14	19	163	69	56	98	68
15	17	157	57	46	88	52
13	16	165	58	44	121	49
11	23	172	57	46	94	51
12	21	162	54	48	95	55
7	22	151	59	49	97	36
13	20	161	58	44	81	55
18	13	177	76	41	80	42
15	14	158	71	41	108	43
13	16	157	61	42	83	79
10	18	160	67	53	84	59
12	22	152	61	54	82	53
13	17	148	57	33	87	68
10	27	111	58	50	106	49
16	14	139	61	44	88	47
10	28	136	51	45	84	55
13	12	159	54	34	86	45
11	13	155	50	43	101	44
10	22	170	49	40	71	55
20	22	165	47	40	102	60
10	26	156	55	42	77	48
10	19	132	53	36	83	41
13	16	168	57	55	90	41
14	21	137	65	53	92	49
10	25	150	58	47	95	55
11	26	132	56	33	75	42
8	23	122	52	39	66	49
15	17	132	41	37	95	35
14	18	121	66	31	85	43
10	16	135	47	44	84	46
8	22	141	52	49	84	40
10	20	120	56	41	78	47
15	18	141	58	43	89	50
13	13	144	50	50	80	38
12	12	130	44	41	73	51
15	16	122	58	37	80	40
10	23	134	51	39	80	48
8	17	126	54	48	81	38
9	19	147	49	50	72	43
12	21	114	46	50	76	39
12	12	110	71	35	65	45
14	20	100	55	36	91	41
9	19	139	50	39	85	35
11	26	100	42	44	95	35
11	14	124	57	32	70	36
11	20	123	50	34	72	42
15	16	109	53	44	67	46
14	23	123	47	44	88	29
18	14	130	50	38	83	47
12	22	109	43	41	60	39
9	21	109	36	46	71	43
12	8	103	52	48	77	36
13	12	136	43	29	79	39
13	23	131	58	34	73	37
13	17	105	38	41	81	46
18	18	110	50	28	65	39
17	16	107	47	34	58	36
17	16	110	47	38	67	42
15	22	106	44	32	65	40
9	17	108	41	44	87	51
10	24	115	34	28	73	42
13	18	128	64	31	58	39
10	18	110	42	36	88	41
12	16	99	53	29	84	43
9	13	108	49	29	68	41
16	17	109	44	36	69	38
7	16	106	52	39	73	43
11	12	112	46	34	66	46
14	20	124	49	42	76	41
7	17	107	55	50	65	49
14	22	102	38	35	78	40
15	13	105	48	25	67	39
21	22	97	41	38	60	46
13	14	108	60	50	65	38
8	21	100	48	41	69	36
7	17	113	48	35	61	38
11	14	87	43	29	70	44
14	16	85	38	26	85	37
10	23	104	33	27	59	49
15	18	118	54	37	70	40
17	16	91	47	42	78	39
14	18	68	40	33	86	48
15	13	102	45	40	60	47
9	16	84	41	34	72	40
7	18	93	36	30	87	44
11	16	95	39	54	78	33
10	11	85	40	34	71	41
15	17	88	45	39	56	31
10	16	96	40	43	69	38
10	12	88	47	27	51	33
8	19	89	37	36	76	38
11	25	104	37	30	62	34
15	16	104	29	48	60	39
14	18	82	40	35	60	29
12	16	102	40	26	86	39
15	18	102	37	41	67	34
8	20	82	37	29	66	47
21	17	109	38	31	74	44
12	24	80	46	33	61	41
17	12	71	43	44	72	41
9	15	79	44	24	83	41
7	16	104	39	45	71	46
13	18	81	41	36	62	33
14	19	102	36	36	66	36
17	22	94	61	38	60	37
12	17	83	39	32	58	27
16	17	113	40	35	76	36
12	15	87	49	32	67	37
14	13	82	32	33	68	39
8	11	80	44	39	49	35
7	16	81	40	40	63	55
13	18	70	42	34	73	33
10	13	79	33	34	46	48
20	20	86	40	35	52	40
14	18	73	30	33	72	33
8	10	93	38	43	58	38
13	11	71	41	30	60	40
15	16	80	33	25	55	43
7	15	84	43	30	55	40
12	22	80	43	29	63	41
19	13	87	33	35	78	38
18	24	64	32	38	68	37
9	12	67	32	35	47	39
15	18	74	37	43	50	36
11	15	80	44	37	44	31
13	14	90	38	29	67	41
15	14	86	44	42	59	41
10	26	72	31	38	66	30
17	9	69	59	33	61	45
8	17	80	43	29	54	36
7	16	90	56	26	57	35
15	18	73	50	43	55	31
10	20	80	29	35	66	27
14	18	85	37	31	69	35
12	19	61	45	38	61	32
16	15	74	52	29	74	35
12	18	72	44	32	48	40
12	15	78	22	32	50	38
9	22	71	40	40	58	38
12	10	80	37	33	63	26
8	11	58	32	30	64	40
17	13	71	43	32	72	43
